station_id,station_name,timestamp,temperature_c,pressure_hpa,humidity_pct,latitude,longitude,altitude_m
AWS-DEL-01,Delhi Safdarjung,2000-09-07 00:00:00,26.0,1000.4,87.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 03:00:00,28.2,1002.3,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 06:00:00,31.6,1002.5,67.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 09:00:00,33.8,1000.1,63.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 12:00:00,33.2,999.2,63.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 15:00:00,30.4,1001.1,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 18:00:00,29.4,1002.3,82.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-07 21:00:00,28.6,1001.8,86.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 00:00:00,28.0,1002.3,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 03:00:00,29.0,1003.4,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 06:00:00,32.8,1004.2,61.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 09:00:00,34.8,1001.6,59.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 15:00:00,28.4,1003.0,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 18:00:00,27.4,1003.2,89.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-08 21:00:00,27.2,1002.8,90.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 00:00:00,25.4,1003.2,87.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 03:00:00,27.6,1003.9,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 06:00:00,30.8,1003.7,67.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 09:00:00,34.0,1001.9,58.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 12:00:00,32.4,1000.4,64.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 15:00:00,29.2,1001.7,86.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-09 18:00:00,28.6,1003.1,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 00:00:00,27.0,1002.3,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 06:00:00,31.6,1002.8,62.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 09:00:00,34.0,1000.8,57.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 12:00:00,33.4,999.7,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 15:00:00,30.6,1001.1,72.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 18:00:00,28.8,1001.9,75.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-10 21:00:00,28.0,999.1,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 00:00:00,26.8,1001.3,72.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 03:00:00,27.0,1003.1,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 06:00:00,31.8,1002.9,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 09:00:00,34.0,1000.8,56.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 12:00:00,33.2,999.7,58.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 15:00:00,29.4,1001.3,67.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 18:00:00,27.8,1002.2,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-11 21:00:00,27.0,1001.9,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 00:00:00,27.0,1002.5,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 03:00:00,27.8,1005.0,69.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 06:00:00,32.0,1004.4,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 09:00:00,35.2,1002.6,51.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 12:00:00,33.0,1001.7,58.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 15:00:00,29.6,1004.0,61.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 18:00:00,28.0,1004.9,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-12 21:00:00,27.0,1004.1,77.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 00:00:00,27.0,1004.7,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 03:00:00,29.0,1006.3,59.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 06:00:00,33.0,1006.1,50.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 09:00:00,35.0,1004.1,41.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 12:00:00,34.8,1003.0,46.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 15:00:00,29.8,1004.6,66.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 18:00:00,28.0,1005.6,73.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-13 21:00:00,27.2,1005.2,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 00:00:00,26.8,1005.0,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 03:00:00,28.0,1006.4,66.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 06:00:00,33.2,1006.0,56.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 09:00:00,35.0,1003.2,49.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 12:00:00,32.2,1002.0,63.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 15:00:00,30.4,1002.8,69.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 18:00:00,29.4,1003.4,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-14 21:00:00,28.4,1002.7,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 00:00:00,28.0,1002.8,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 03:00:00,29.6,1004.4,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 06:00:00,34.0,1004.5,64.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 09:00:00,35.2,1002.0,53.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 12:00:00,34.4,1001.2,61.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 15:00:00,31.4,1002.6,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 18:00:00,30.0,1003.8,77.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-15 21:00:00,28.4,1002.9,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 00:00:00,27.0,1003.4,87.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 03:00:00,29.0,1005.2,79.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 06:00:00,34.2,1004.4,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 09:00:00,36.0,1002.2,46.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 12:00:00,35.0,1001.0,50.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 15:00:00,30.2,1003.4,68.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 18:00:00,28.2,1004.6,79.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-16 21:00:00,27.4,1004.5,83.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 00:00:00,26.2,1004.8,87.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 03:00:00,29.2,1005.6,63.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 06:00:00,34.6,1005.5,39.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 09:00:00,36.6,1003.4,30.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 12:00:00,36.4,1002.1,28.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 15:00:00,29.6,1004.0,58.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-17 18:00:00,27.0,1004.5,72.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 00:00:00,25.4,1004.0,66.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 03:00:00,28.4,1005.2,43.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 06:00:00,33.6,1004.6,39.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 09:00:00,37.0,1002.4,28.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 12:00:00,35.6,1001.2,31.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 15:00:00,29.4,1003.2,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 18:00:00,27.2,1003.7,72.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-18 21:00:00,26.4,1003.5,75.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 03:00:00,27.8,1006.3,54.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 06:00:00,33.6,1006.3,37.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 09:00:00,34.4,1004.2,39.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 12:00:00,33.4,1003.7,40.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 15:00:00,28.4,1006.0,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 18:00:00,26.0,1007.0,83.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-19 21:00:00,25.4,1006.6,92.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 00:00:00,25.0,1007.4,88.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 03:00:00,26.4,1009.0,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 06:00:00,30.4,1008.9,72.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 09:00:00,32.0,1007.1,63.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 12:00:00,31.4,1004.8,66.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 15:00:00,28.0,1008.3,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-20 18:00:00,26.2,1009.3,83.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 00:00:00,24.8,1009.5,88.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 03:00:00,26.2,1010.3,84.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 06:00:00,30.0,1010.7,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 09:00:00,32.6,1008.4,57.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 12:00:00,31.4,1007.0,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 15:00:00,28.6,1009.5,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 18:00:00,27.4,1010.0,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-21 21:00:00,26.6,1010.2,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 00:00:00,25.6,1011.0,87.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 06:00:00,32.0,1012.1,60.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 09:00:00,33.2,1009.1,56.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 12:00:00,31.6,1008.2,64.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 15:00:00,28.8,1008.6,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 18:00:00,27.0,1009.4,80.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-22 21:00:00,26.2,1009.2,83.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 00:00:00,24.4,1009.5,88.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 03:00:00,27.8,1011.0,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 06:00:00,32.2,1010.4,52.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 09:00:00,34.0,1007.3,39.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 12:00:00,32.2,1005.5,48.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 15:00:00,29.0,1007.0,63.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 18:00:00,26.6,1008.3,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-23 21:00:00,26.2,1007.9,66.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 00:00:00,24.4,1008.0,76.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 03:00:00,27.4,1009.9,67.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 06:00:00,32.2,1008.9,52.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 09:00:00,34.2,1006.1,78.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 12:00:00,33.0,1004.9,50.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 15:00:00,29.2,1005.9,64.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 18:00:00,27.2,1007.0,74.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-24 21:00:00,26.2,1006.6,75.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 00:00:00,25.0,1007.1,85.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 03:00:00,28.6,1008.5,70.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 06:00:00,34.2,1008.0,51.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 09:00:00,36.4,1005.4,38.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 12:00:00,34.8,1003.6,46.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 15:00:00,30.4,1005.5,51.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 18:00:00,27.2,1007.0,56.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-25 21:00:00,25.8,1006.1,62.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-26 00:00:00,25.2,1008.4,67.0,28.6139,77.209,216.0
AWS-DEL-01,Delhi Safdarjung,2000-09-26 03:00:00,24.6,1011.1,65.0,28.6139,77.209,216.0
